Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,54.660000,55.160000,54.070000,54.490002,49.807629,1806000
2015-01-05,54.310001,54.360001,53.490002,53.520000,48.920982,2797300
2015-01-06,53.439999,53.439999,52.070000,52.259998,47.769249,6067900
2015-01-07,52.509998,53.150002,52.380001,52.939999,48.390816,4022300
2015-01-08,53.610001,54.419998,53.380001,54.259998,49.597389,3081000
2015-01-09,54.400002,54.470001,53.470001,54.099998,49.451141,1673300
2015-01-12,54.020000,54.119999,53.080002,53.410000,48.820435,3120400
2015-01-13,53.509998,54.490002,52.830002,53.110001,48.546211,3519400
2015-01-14,52.700001,53.330002,52.380001,52.910000,48.363396,3732100
2015-01-15,53.599998,54.029999,53.060001,53.200001,48.628479,3886400
2015-01-16,52.869999,53.700001,52.549999,53.630001,49.021526,3653000
2015-01-20,53.790001,54.320000,53.490002,54.160000,49.505981,2546000
2015-01-21,54.090000,54.990002,53.919998,54.860001,50.145832,2692500
2015-01-22,54.779999,55.349998,53.930000,55.349998,50.593727,3054000
2015-01-23,55.130001,55.540001,54.990002,55.110001,50.374355,1871500
2015-01-26,55.020000,55.189999,54.580002,55.119999,50.383492,1801200
2015-01-27,54.340000,54.540001,53.630001,54.020000,49.378014,5010900
2015-01-28,54.700001,54.939999,53.549999,53.560001,48.957546,3510500
2015-01-29,53.720001,54.119999,52.900002,53.860001,49.231762,3022300
2015-01-30,53.459999,53.869999,52.650002,52.730000,48.198868,3591300
2015-02-02,52.740002,52.980000,51.840000,52.830002,48.290276,6878700
2015-02-03,53.240002,53.650002,52.889999,53.580002,48.975830,3033800
2015-02-04,53.560001,54.320000,53.560001,53.959999,49.323170,3827900
2015-02-05,54.310001,54.500000,53.849998,54.500000,49.816772,2523600
2015-02-06,54.500000,54.840000,53.799999,53.919998,49.286606,2552900
2015-02-09,53.730000,53.730000,52.930000,53.209999,48.637619,2907700
2015-02-10,54.160000,54.980000,53.830002,54.959999,50.237240,3678800
2015-02-11,54.990002,55.450001,54.799999,55.279999,50.529747,2870200
2015-02-12,55.500000,56.060001,55.480000,56.060001,51.242718,2968700
2015-02-13,56.130001,56.500000,55.860001,56.389999,51.544361,2956100
2015-02-17,56.290001,56.650002,56.139999,56.630001,51.763733,1781300
2015-02-18,56.590000,56.619999,56.220001,56.439999,51.590057,2606400
